,author,updated_at,like_count,text,public
647,@DUNIA-sholawatan,2024-09-14T18:50:31Z,0,Ruby GK d ban d late game sumpah Ruby susah yng mau mati😂,True
648,@mochammadrosyadi3595,2024-09-14T18:47:55Z,0,Gila botakkk😂,True
649,@AhmadDani-m9b,2024-09-14T18:46:46Z,0,Sonic g berani comen,True
650,@hamidmancity987,2024-09-14T18:46:08Z,0,Yg katanya PR buat pertemuan ke 2. Malah 2-0 lagi😂,True
651,@salambahagia17,2024-09-14T18:44:58Z,0,Tutor gatot ada di profil,True
652,@leobardhodepo2092,2024-09-14T18:42:39Z,0,"Sanz blum apa""dha recal""😂😂😂malu gk thu dha kira bakal menang",True
653,@findralevy2400,2024-09-14T18:37:08Z,1,Sutsujin skylar menggilaaa... Seru banget. RRQ  Terbaik 🎉,True
654,@rahmatefendi9929,2024-09-14T18:36:33Z,0,match gila respect respect kedua tim,True
655,@adiprakoso4665,2024-09-14T18:36:04Z,0,Final harus gini sih,True
656,@manelofficial4214,2024-09-14T18:33:23Z,0,Gila ini ling.,True
657,@fajarsidiq4774,2024-09-14T18:33:12Z,0,RAJA DARI SEGALA RAJA 🥶,True
658,@AsmarAskar-ow8lw,2024-09-14T18:32:20Z,0,"Nanti ganti nama lagi tuh ONIC, jdi ta1k bab1 ONIC😂😂😂.. minimal jungler SAVAGE donk🤪, minimal telur gak picah🤪.. pasti alasan gak ada lutpi🤣. Skalian tuh YEB kalian sruh main🤣🤣🤣",True
659,@Kazuyahere,2024-09-14T18:28:54Z,0,ayam ayam onic sedang mencari alasan,True
660,@norrickbagasistanto4402,2024-09-14T18:28:03Z,0,Gilakkkkk,True
661,@Budisetiawan15,2024-09-14T18:27:49Z,0,Aduh kasian 2 0 lagi kaya kemarin 😂,True
662,@Ajie321,2024-09-14T18:23:34Z,0,"klu patch dulu ok pakek lunox, seblom direvamp pas skill msh 2 cahaya atau gelap msh ok jg dengan land of down sekarang ada item lampu senjata zhuxin jg, lah kan terakhir di adjust nerf atributnya gtu kok msh dipakek lunoxnya, kwkwkw gmn si nocnoc ngedrafnya, ada ruby ada valentina , mending harit nerfnya gk keterlaluan. nocnoc gmn si.",True
663,@sanstuyyy,2024-09-14T18:23:09Z,0,Bukan era onic and kairi lagi,True
664,@Polisi-babi,2024-09-14T18:21:49Z,0,Trending cok,True
665,@WarikGanteng69,2024-09-14T18:21:37Z,0,Bnyak komen sok proo wkwkwk padahal mytik bintang 5🤣🤣🤣,True
666,@fdlmuhammad2285,2024-09-14T18:21:04Z,0,sutsujin comeback to evos plisss,True
667,@wildanes9941,2024-09-14T18:17:23Z,0,Gile sutsuling 👏,True
668,@rahmatkurniawan3801,2024-09-14T18:16:56Z,0,Pulung emang dari dulu anti rrq. Caster paling gua benci dari mpl s1,True
669,@FikriHadi-y2w,2024-09-14T18:14:40Z,0,RRQ AING MADEP🔥🧡,True
670,@dimassetiyo1848,2024-09-14T18:13:33Z,0,@kata khairi tunggu light kedua mananya bacot doang  udah habis masa lu,True
671,@sumarnimarni-rb4xk,2024-09-14T18:12:48Z,0,Lawakkk lawan dongvgggvggvgg,True
672,@EnumaEalish99,2024-09-14T18:12:21Z,0,Draft apa ini😮,True
673,@EwinTumangger,2024-09-14T18:12:03Z,0,By one kita Skylar ?? Aq raja balmond ..,True
674,@EwinTumangger,2024-09-14T18:11:28Z,0,Knp Skylar harus megang kepala kawan nya ?? Heran gua,True
675,@tukanghudangbeurang,2024-09-14T18:09:55Z,4,"Baru x ini liat Onic ngelawak,,dia cuman fokus buat ngebantai bukan fokus untuk menang",True
676,@unregistered07,2024-09-14T18:09:32Z,10,"Jokes caster mantab juga 😂
KB : bentar2 ada telpon dari AP Bren 🤣
Pak Pulung : itu yang nelpon AP Bren apa AE Bren 🤣
satt lah 😂",True
677,@bendchokolatos6407,2024-09-14T18:07:20Z,0,Mana Lekk.. yg katanya mau blas di leg ke 2😂😂😂,True
678,@dennyalvianz,2024-09-14T18:06:33Z,0,Match paling seruu,True
679,@TAKA-fw8pn,2024-09-14T18:06:14Z,82,"top 5 alasan onic
1. tunggu playoff.
2. tunggu Albert main.
3. tunggu coach yeb main
4. tunggu adi nge tweet
5. tunggu kiris",True
680,@sannn9999,2024-09-14T18:05:01Z,0,Rezzz mirip Kidbomba ya badan dan mental nya,True
681,@aimongskymongsky400,2024-09-14T18:03:41Z,0,Anjir pak pulu udab kaya senjata rambo 😅😅😅😅😅😅😅😊,True
682,@fazzarevansa1319,2024-09-14T18:02:14Z,0,Sanz underperform jelek banget main nya,True
683,@juliansyah1709,2024-09-14T18:01:03Z,0,LING TER FAST HAND DI MPL S14 SUTSUJIN .🎉,True
684,@NewHNDKA,2024-09-14T18:00:53Z,0,"Kayanya kairi pengen bales savage ujin kmaren, ada momen harusnya lord tp dia maju trus sampe akhirnya mati 🥴",True
685,@dickybagussetiawan1337,2024-09-14T17:58:34Z,0,"GILAAA ANJIRRR KELAS RRQ. SKILL MIKRO SUTSUJIN NUMBER ONE. ONIC LUPA YG DIA LAWAN KING RRQ, BUKAN EPOS 😅",True
686,@handikabujang124,2024-09-14T17:58:12Z,0,"Sengaja ngalah onic , nanti pas play of onic langsung all in, ini biar mpl rame aja",True
687,@sutono9307,2024-09-14T17:57:49Z,0,salut GOKIL si IDOK ngebadanin nya 👏,True
688,@iyinij,2024-09-14T17:54:53Z,194,"GILAAAA, bahkan game onic btr aja ga seseru ini, btr geek atau semua match tim papan atas bahkan semua match rrq season ini sih ini paling seru aslii😭 walaupun bukan assassin vs assassin tpi gila sih",True
689,@ariyarahmat9744,2024-09-14T17:54:33Z,0,"Gold laner nya upin ipin, sma² b*tak😂😂",True
690,@Rhiiyooo619,2024-09-14T17:49:51Z,0,"Alhamdulilah poin penuh lagi & tetetp tempel BTR. semoga next match bisa mengatasi perlawanan BTR 💪🏿

keep fighting Hoshi, sebisa mungkin harus selalu improve di tiap matchnya. semoga hasil baik selalu bersama Hoshi di sisa musim ini. VIVA RRQ 👑🧡",True
691,@anggitsuseno4513,2024-09-14T17:48:13Z,0,Ketika Skylar mendapat teman yg tepat 😂,True
